ward_section_concatenated,ward,section,month_name,month_number,dates
0903,9,3,APRIL,4,"6,9"
0903,9,3,JUNE,6,"6,7"
0903,9,3,AUGUST,8,"6,7"
0903,9,3,OCTOBER,10,"4,5"
0904,9,4,APRIL,4,"10,11"
0904,9,4,JUNE,6,"8,11"
0904,9,4,AUGUST,8,"8,9"
0904,9,4,OCTOBER,10,"9,10"
0905,9,5,APRIL,4,"12,13"
0905,9,5,JUNE,6,"12,13"
0905,9,5,AUGUST,8,"10,13"
0905,9,5,OCTOBER,10,"11,12"
0906,9,6,APRIL,4,"16,17"
0906,9,6,JUNE,6,"14,15"
0906,9,6,AUGUST,8,"14,15"
0906,9,6,OCTOBER,10,"15,16"
0907,9,7,APRIL,4,"18,19"
0907,9,7,JUNE,6,"18,19"
0907,9,7,AUGUST,8,"16,17"
0907,9,7,OCTOBER,10,"17,18"
0908,9,8,APRIL,4,"20,23"
0908,9,8,JUNE,6,"20,21"
0908,9,8,AUGUST,8,"20,21"
0908,9,8,OCTOBER,10,"19,22"
0909,9,9,APRIL,4,"24,25"
0909,9,9,JUNE,6,"22,25"
0909,9,9,AUGUST,8,"22,23"
0909,9,9,OCTOBER,10,"23,24"
0910,9,10,APRIL,4,"26,27"
0910,9,10,JUNE,6,"26,27"
0910,9,10,AUGUST,8,"24,27"
0910,9,10,OCTOBER,10,"25,26"
0911,9,11,APRIL,4,30
0911,9,11,MAY,5,1
0911,9,11,JUNE,6,"28,29"
0911,9,11,AUGUST,8,"28,29"
0911,9,11,OCTOBER,10,"29,30"
0912,9,12,MAY,5,"2,3"
0912,9,12,JULY,7,"2,3"
0912,9,12,AUGUST,8,"30,31"
0912,9,12,OCTOBER,10,31
0912,9,12,NOVEMBER,11,1
0913,9,13,MAY,5,"4,7"
0913,9,13,JULY,7,"5,6"
0913,9,13,SEPTEMBER,9,"4,5"
0913,9,13,NOVEMBER,11,"2,5"
0914,9,14,MAY,5,"8,9"
0914,9,14,JULY,7,"9,10"
0914,9,14,SEPTEMBER,9,"6,7"
0914,9,14,NOVEMBER,11,"6,7"
0915,9,15,MAY,5,"10,11"
0915,9,15,JULY,7,"11,12"
0915,9,15,SEPTEMBER,9,"10,11"
0915,9,15,NOVEMBER,11,"8,9"
0916,9,16,MAY,5,"14,15"
0916,9,16,JULY,7,"13,16"
0916,9,16,SEPTEMBER,9,"12,13"
0916,9,16,NOVEMBER,11,"12,13"
0917,9,17,MAY,5,"16,17"
0917,9,17,JULY,7,"17,18"
0917,9,17,SEPTEMBER,9,"14,17"
0917,9,17,NOVEMBER,11,"14,15"
0918,9,18,MAY,5,"18,21"
0918,9,18,JULY,7,"19,20"
0918,9,18,SEPTEMBER,9,"18,19"
0918,9,18,NOVEMBER,11,16
0919,9,19,MAY,5,"22,23"
0919,9,19,JULY,7,"23,24"
0919,9,19,SEPTEMBER,9,"20,21"
0920,9,20,MAY,5,"24,25"
0920,9,20,JULY,7,"25,26"
0920,9,20,SEPTEMBER,9,"24,25"
0921,9,21,MAY,5,"29,30"
0921,9,21,JULY,7,"27,30"
0921,9,21,SEPTEMBER,9,"26,27"
1001,10,1,APRIL,4,"2,3"
1001,10,1,MAY,5,"18,21"
1001,10,1,JULY,7,"9,10"
1001,10,1,AUGUST,8,"24,27"
1001,10,1,OCTOBER,10,"15,16"
1002,10,2,APRIL,4,"4,5"
1002,10,2,MAY,5,"22,23"
1002,10,2,JULY,7,"11,12"
1002,10,2,AUGUST,8,"28,29"
1002,10,2,OCTOBER,10,"17,18"
1003,10,3,APRIL,4,"6,9"
1003,10,3,MAY,5,"24,25"
1003,10,3,JULY,7,"13,16"
1003,10,3,AUGUST,8,"30,31"
1003,10,3,OCTOBER,10,"19,22"
1004,10,4,APRIL,4,"10,11"
1004,10,4,MAY,5,"29,30"
1004,10,4,JULY,7,"17,18"
1004,10,4,SEPTEMBER,9,"4,5"
1004,10,4,OCTOBER,10,"23,24"
1005,10,5,APRIL,4,"12,13"
1005,10,5,MAY,5,31
1005,10,5,JUNE,6,1
1005,10,5,JULY,7,"19,20"
1005,10,5,SEPTEMBER,9,"6,7"
1005,10,5,OCTOBER,10,"25,26"
1006,10,6,APRIL,4,"16,17"
1006,10,6,JUNE,6,"4,5"
1006,10,6,JULY,7,"23,24"
1006,10,6,SEPTEMBER,9,"10,11"
1006,10,6,OCTOBER,10,"29,30"
1007,10,7,APRIL,4,"18,19"
1007,10,7,JUNE,6,"6,7"
1007,10,7,JULY,7,"25,26"
1007,10,7,SEPTEMBER,9,"12,13"
1007,10,7,OCTOBER,10,31
1007,10,7,NOVEMBER,11,1
1008,10,8,APRIL,4,"20,23"
1008,10,8,JUNE,6,"8,11"
1008,10,8,JULY,7,"27,30"
1008,10,8,SEPTEMBER,9,"14,17"
1008,10,8,NOVEMBER,11,"2,5"
1009,10,9,APRIL,4,"24,25"
1009,10,9,JUNE,6,"12,13"
1009,10,9,JULY,7,31
1009,10,9,AUGUST,8,1
1009,10,9,SEPTEMBER,9,"18,19"
1009,10,9,NOVEMBER,11,"6,7"
1010,10,10,APRIL,4,"26,27"
1010,10,10,JUNE,6,"14,15"
1010,10,10,AUGUST,8,"2,3"
1010,10,10,SEPTEMBER,9,"20,21"
1010,10,10,NOVEMBER,11,"8,9"
1011,10,11,APRIL,4,30
1011,10,11,MAY,5,1
1011,10,11,JUNE,6,"18,19"
1011,10,11,AUGUST,8,"6,7"
1011,10,11,SEPTEMBER,9,"24,25"
1011,10,11,NOVEMBER,11,"12,13"
1012,10,12,MAY,5,"2,3"
1012,10,12,JUNE,6,"20,21"
1012,10,12,AUGUST,8,"8,9"
1012,10,12,SEPTEMBER,9,"26,27"
1012,10,12,NOVEMBER,11,"14,15"
1013,10,13,MAY,5,"4,7"
1013,10,13,JUNE,6,"22,25"
1013,10,13,AUGUST,8,"10,13"
1013,10,13,SEPTEMBER,9,28
1013,10,13,OCTOBER,10,1
1013,10,13,NOVEMBER,11,16
1014,10,14,MAY,5,"8,9"
1014,10,14,JUNE,6,"26,27"
1014,10,14,AUGUST,8,"14,15"
1014,10,14,OCTOBER,10,"2,3"
1015,10,15,MAY,5,"10,11"
1015,10,15,JUNE,6,"28,29"
1015,10,15,AUGUST,8,"16,17"
1015,10,15,OCTOBER,10,"4,5"
1016,10,16,MAY,5,"14,15"
1016,10,16,JULY,7,"2,3"
1016,10,16,AUGUST,8,"20,21"
1016,10,16,OCTOBER,10,"9,10"
1017,10,17,MAY,5,"16,17"
1017,10,17,JULY,7,"5,6"
1017,10,17,AUGUST,8,"22,23"
1017,10,17,OCTOBER,10,"11,12"
1101,11,1,APRIL,4,"2,3"
1101,11,1,MAY,5,"16,17"
1101,11,1,JULY,7,"2,3"
1101,11,1,AUGUST,8,"16,17"
1101,11,1,OCTOBER,10,"2,3"
1101,11,1,NOVEMBER,11,16
1102,11,2,APRIL,4,"4,5,6,9"
1102,11,2,MAY,5,"18,21,22,23"
1102,11,2,JULY,7,"5,6,9,10"
1102,11,2,AUGUST,8,"20,21,22,23"
1102,11,2,OCTOBER,10,"4,5,9,10"
1103,11,3,APRIL,4,"10,11"
1103,11,3,MAY,5,"24,25"
1103,11,3,JULY,7,"11,12"
1103,11,3,AUGUST,8,"24,27"
1103,11,3,OCTOBER,10,"11,12"
1104,11,4,APRIL,4,"12,13,16,17"
1104,11,4,MAY,5,"29,30,31"
1104,11,4,JUNE,6,1
1104,11,4,JULY,7,"13,16,17,18"
1104,11,4,AUGUST,8,"28,29,30,31"
1104,11,4,OCTOBER,10,"15,16,17,18"
1105,11,5,APRIL,4,"18,19,20,23"
1105,11,5,JUNE,6,"4,5,6,7"
1105,11,5,JULY,7,"19,20,23,24"
1105,11,5,SEPTEMBER,9,"4,5,6,7"
1105,11,5,OCTOBER,10,"19,22,23,24"
1106,11,6,APRIL,4,"24,25"
1106,11,6,JUNE,6,"8,11"
1106,11,6,JULY,7,"25,26"
1106,11,6,SEPTEMBER,9,"10,11"
1106,11,6,OCTOBER,10,"25,26"
1107,11,7,APRIL,4,"26,27"
1107,11,7,JUNE,6,"12,13"
1107,11,7,JULY,7,"27,30"
1107,11,7,SEPTEMBER,9,"12,13"
1107,11,7,OCTOBER,10,"29,30"
1108,11,8,APRIL,4,30
1108,11,8,MAY,5,"1,2,3"
1108,11,8,JUNE,6,"14,15,18,9"
1108,11,8,JULY,7,31
1108,11,8,AUGUST,8,"1,2,3"
1108,11,8,SEPTEMBER,9,"14,17,18,19"
1108,11,8,OCTOBER,10,31
1108,11,8,NOVEMBER,11,"1,2,5"
1109,11,9,MAY,5,"4,7"
1109,11,9,JUNE,6,"20,21"
1109,11,9,AUGUST,8,"6,7"
1109,11,9,SEPTEMBER,9,"20,21"
1109,11,9,NOVEMBER,11,"6,7"
1110,11,10,MAY,5,"8,9"
1110,11,10,JUNE,6,"22,25"
1110,11,10,AUGUST,8,"8,9"
1110,11,10,SEPTEMBER,9,"24,25"
1110,11,10,NOVEMBER,11,"8,9"
1111,11,11,MAY,5,"10,11"
1111,11,11,JUNE,6,"26,27"
1111,11,11,AUGUST,8,"10,13"
1111,11,11,SEPTEMBER,9,"26,27"
1111,11,11,NOVEMBER,11,"12,13"
1112,11,12,MAY,5,"14,15"
1112,11,12,JUNE,6,"28,29"
1112,11,12,AUGUST,8,"14,15"
1112,11,12,SEPTEMBER,9,28
1112,11,12,OCTOBER,10,1
1112,11,12,NOVEMBER,11,"14,15"
1201,12,1,APRIL,4,"2,3,30"
1201,12,1,MAY,5,"1,29,30"
1201,12,1,JUNE,6,"26,27"
1201,12,1,JULY,7,"25,26"
1201,12,1,AUGUST,8,"22,23"
1201,12,1,SEPTEMBER,9,"20,21"
1201,12,1,OCTOBER,10,"19,22"
1201,12,1,NOVEMBER,11,"16,19"
1202,12,2,APRIL,4,"4,5"
1202,12,2,MAY,5,"2,3,31"
1202,12,2,JUNE,6,"1,28,29"
1202,12,2,JULY,7,"27,30"
1202,12,2,AUGUST,8,"24,27"
1202,12,2,SEPTEMBER,9,"24,25"
1202,12,2,OCTOBER,10,"23,24"
1203,12,3,APRIL,4,"6,9"
1203,12,3,MAY,5,"4,7"
1203,12,3,JUNE,6,"4,5"
1203,12,3,JULY,7,"2,3,31"
1203,12,3,AUGUST,8,"28,29"
1203,12,3,SEPTEMBER,9,"26,27"
1203,12,3,OCTOBER,10,"25,26"
1204,12,4,APRIL,4,"10,11"
1204,12,4,MAY,5,"8,9"
1204,12,4,JUNE,6,"6,7"
1204,12,4,JULY,7,"5,6"
1204,12,4,AUGUST,8,"2,3,30,31"
1204,12,4,SEPTEMBER,9,28
1204,12,4,OCTOBER,10,"1,29,30"
1205,12,5,APRIL,4,"12,13"
1205,12,5,MAY,5,"10,11"
1205,12,5,JUNE,6,"8,11"
1205,12,5,JULY,7,"9,10"
1205,12,5,AUGUST,8,"6,7"
1205,12,5,SEPTEMBER,9,"4,5"
1205,12,5,OCTOBER,10,"2,3,31"
1205,12,5,NOVEMBER,11,1
1206,12,6,APRIL,4,"16,17"
1206,12,6,MAY,5,"14,15"
1206,12,6,JUNE,6,"12,13"
1206,12,6,JULY,7,"11,12"
1206,12,6,AUGUST,8,"8,9"
1206,12,6,SEPTEMBER,9,"6,7"
1206,12,6,OCTOBER,10,"4,5"
1206,12,6,NOVEMBER,11,"2,5"
1207,12,7,APRIL,4,"18,19"
1207,12,7,MAY,5,"16,17"
1207,12,7,JUNE,6,"14,15"
1207,12,7,JULY,7,"13,16"
1207,12,7,AUGUST,8,"10,13"
1207,12,7,SEPTEMBER,9,"10,11"
1207,12,7,OCTOBER,10,"9,10"
1207,12,7,NOVEMBER,11,"6,7"
1208,12,8,APRIL,4,"20,23"
1208,12,8,MAY,5,"18,21"
1208,12,8,JUNE,6,"18,19"
1208,12,8,JULY,7,"17,18"
1208,12,8,AUGUST,8,"14,15"
1208,12,8,SEPTEMBER,9,"12,13"
1208,12,8,OCTOBER,10,"11,12"
1208,12,8,NOVEMBER,11,"8,9"
1209,12,9,APRIL,4,"24,25"
1209,12,9,MAY,5,"22,23"
1209,12,9,JUNE,6,"20,21"
1209,12,9,JULY,7,"19,20"
1209,12,9,AUGUST,8,"16,17"
1209,12,9,SEPTEMBER,9,"14,17"
1209,12,9,OCTOBER,10,"15,16"
1209,12,9,NOVEMBER,11,"12,13"
1210,12,10,APRIL,4,"26,27"
1210,12,10,MAY,5,"24,25"
1210,12,10,JUNE,6,"22,25"
1210,12,10,JULY,7,"23,24"
1210,12,10,AUGUST,8,"20,21"
1210,12,10,SEPTEMBER,9,"18,19"
1210,12,10,OCTOBER,10,"17,18"
1210,12,10,NOVEMBER,11,"15,16"
1301,13,1,APRIL,4,"2,3"
1301,13,1,JUNE,6,"18,19"
1301,13,1,SEPTEMBER,9,"4,5"
1302,13,2,APRIL,4,"4,5"
1302,13,2,JUNE,6,"20,21"
1302,13,2,SEPTEMBER,9,"6,7"
1303,13,3,APRIL,4,"6,9"
1303,13,3,JUNE,6,"22,25"
1303,13,3,SEPTEMBER,9,"10,11"
1304,13,4,APRIL,4,"10,11"
1304,13,4,JUNE,6,"26,27"
1304,13,4,SEPTEMBER,9,"12,13"
1305,13,5,APRIL,4,"12,13"
1305,13,5,JUNE,6,"28,29"
1305,13,5,SEPTEMBER,9,"14,17"
1306,13,6,APRIL,4,"16,17"
1306,13,6,JULY,7,"2,3"
1306,13,6,SEPTEMBER,9,"18,19"
1307,13,7,APRIL,4,"18,19"
1307,13,7,JULY,7,"5,6"
1307,13,7,SEPTEMBER,9,"20,21"
1308,13,8,APRIL,4,"20,23"
1308,13,8,JULY,7,"9,10"
1308,13,8,SEPTEMBER,9,"24,25"
1309,13,9,APRIL,4,"24,25"
1309,13,9,JULY,7,"11,12"
1309,13,9,SEPTEMBER,9,"26,27"
1310,13,10,APRIL,4,"26,27"
1310,13,10,JULY,7,"13,16"
