vendor_number,vendor_name,submission_date,business_type,business_employees,address,city,state,reporting_year,record_id,zip
56638255,OGDEN AVENUE MATERIALS & RELIABLE ASPHALT JOINT VENTURE,2021-06-25T00:00:00.000,CONSTRUCTION,10-50,3741 S PULASKI RD,CHICAGO,IL,2020,56638255_2020,60623
10231073,"OMICRON TECHNOLOGIES, INC.",2021-06-25T00:00:00.000,IT,UNDER-10,5415 W HIGGINS AVE,CHICAGO,IL,2020,10231073_2020,60630
1028417,RAY O'HERRON CO INC,2021-06-25T00:00:00.000,LAW ENFORCEMENT AND FIRST RESPONDER SUPPLIES,50-200,3549 N VERMILION ST,DANVILLE,IL,2020,1028417_2020,
51139031,AT&T CORP,2021-06-24T00:00:00.000,TELECOMMUNICATION,1000-ABOVE,PO BOX 5000,CAROL STREAM,IL,2020,51139031_2020,60197-5000
55807034,EXP U.S. SERVICES INC.|EXP US.SERVICES. SERVICES INC.,2021-06-24T00:00:00.000,ARCH-ENG-CONST,500-1000,205 N MICHIGAN AVE STE 3600,CHICAGO,IL,2020,55807034_2020,60601
1068918,KIMLEY-HORN & ASSOCIATES INC,2021-06-24T00:00:00.000,ARCH-ENG-CONST,1000-ABOVE,111 W JACKSON BLVD,CHICAGO,IL,2020,1068918_2020,60604
528125,M.Q. SEWER & WATER CONTRACTORS,2021-06-24T00:00:00.000,CONSTRUCTION,10-50,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,2020,528125_2020,60634
WD007120,T-MOBILE,2021-06-24T00:00:00.000,TELECOMMUNICATIONS,1000-ABOVE,PO BOX 742596,CINCINNATI,OH,2020,WD007120_2020,45274-2596
10191857,BLACK & VEATCH CORPORATION,2021-06-23T00:00:00.000,ARCH-ENG-CONST,1000-ABOVE,TWO NORTH RIVERSIDE PLAZA SUITE 2050,CHICAGO,IL,2020,10191857_2020,60606
10553547,"COLONIAL OIL INDUSTRIES, INC.",2021-06-23T00:00:00.000,PETROLEUM PRODUCTS MERCHANT WHOLESALERS,50-200,101 N LATHROP AVE,SAVANNAH,GA,2020,10553547_2020,31415
10543352,HARRISON2 INSPIRE|Harrison2 Inspire,2021-06-23T00:00:00.000,"EQUIPMENT,SCHOOL , DAY CARE FURNITURE AND EQUIPMENT",UNDER-10,1124 LAKE ST,OAK PARK,IL,2020,10543352_2020,60301
50107261,PUBLIC SURPLUS LLC,2021-06-23T00:00:00.000,IT,50-200,PO BOX 530861  EFT,HENDERSON,NV,2020,50107261_2020,89053
55528021,SAFEWARE,2021-06-23T00:00:00.000,EQUIPMENT,50-200,4403 FORBES BOULEVARD EFT,LANHAM,MD,2020,55528021_2020,20706
1046058,AOR TRANSIT,2021-06-22T00:00:00.000,TRANSPORTATION,50-200,NORTH CARGO RD. BLDG. 522,CHICAGO,IL,2020,1046058_2020,60666-0511
10071974,CINTAS CORPORATION,2021-06-22T00:00:00.000,BUSINESS SERVICES,1000-ABOVE,6800 CINTAS BLVD,MASON,OH,2020,10071974_2020,45040
10231553,CONNECT CHICAGO ALLIANCE JV,2021-06-22T00:00:00.000,ARCH-ENG-CONST,50-200,525 W MONROE ST STE 1600,CHICAGO,IL,2020,10231553_2020,60661
1058510,"IRON MOUNTAIN, INC.",2021-06-22T00:00:00.000,RECORDS MANAGEMENT,1000-ABOVE,PO BOX 27128,NEW YORK,NY,2020,1058510_2020,10087-7128
1008945,MAT LEASING INC,2021-06-22T00:00:00.000,TRANSPORTATION,10-50,4450 S MORGAN EFT,CHICAGO,IL,2020,1008945_2020,60609
WD004864,"PITNEY BOWES, INC",2021-06-21T00:00:00.000,EQUIPMENT,1000-ABOVE,PO BOX 856390,LOUISVILLE,KY,2020,WD004864_2020,40285-6390
53751021,ABM JANITORIAL SERVICES,2021-06-18T00:00:00.000,JANITORIAL,1000-ABOVE,180 N LA SALLE ST,CHICAGO,IL,2020,53751021_2020,60601
1062101,BENCHMARK CONSTRUCTION CO. INC,2021-06-18T00:00:00.000,CONSTRUCTION,50-200,3349 S KEDZIE AVENUE EFT,CHICAGO,IL,2020,1062101_2020,60623
1017801,"FRANK COONEY CO, INC.",2021-06-18T00:00:00.000,EQUIPMENT,10-50,1226 N MICHAEL DR,WOOD DALE,IL,2020,1017801_2020,60191
52175027,K-PLUS MECHANICAL INC,2021-06-18T00:00:00.000,CONSTRUCTION,UNDER-10,24317 W 143RD STREET EFT,PLAINFIELD,IL,2020,52175027_2020,60544
399960,IBM CORPORATION,2021-06-17T00:00:00.000,IT,1000-ABOVE,P.O. BOX 91222 B/O DL4,CHICAGO,IL,2020,399960_2020,60693
1064349,"NTT DATA, INC",2021-06-17T00:00:00.000,"CALL CENTER AND CUSTOMER SERVICE,CALL CENTER AND CUSTOMER SERVICE",1000-ABOVE,PO BOX 99851  EFT,CHICAGO,IL,2020,1064349_2020,60690
56974217,ROTORCRAFT SUPPORT INC,2021-06-17T00:00:00.000,REPAIR-MAINTENANCE,50-200,16425 HART ST,VAN NUYS,CA,2020,56974217_2020,91406
1069345,DELAWARE CARS/T.R. HARMSEN CORP. J.V.,2021-06-15T00:00:00.000,TRANSPORTATION,50-200,T.R. HARMSEN CORP. J.V.,SCHILLER PARK,IL,2020,1069345_2020,60176
819699,STANDARD EQUIPMENT|STANDARD EQUIPMENT COMPANY,2021-06-15T00:00:00.000,REPAIR-MAINTENANCE,10-50,2033 W WALNUT ST,CHICAGO,IL,2020,819699_2020,60612
50060101,IT'S KWM'S COMPANY,2021-06-11T00:00:00.000,"CONSTRUCTION,DEMOLITION",10-50,123 MY ST,CHICAGO,IL,2020,50060101_2020,60602
1071398,"LUSE ENVIRONMENTAL SERVICES, INC.",2021-06-11T00:00:00.000,"CONSTRUCTION,DEMOLITION,ASBESTOS REMOVAL, LEAD ABATEMENT CONTRACTING, SELECTIVE INTERIOR REMEDIATION, OTHER ENVIRONMENTAL REMEDIATION SERVICES",50-200,3990 ENTERPRISE COURT EFT,AURORA,IL,2020,1071398_2020,60504
1021227,SET ENVIRONMENTAL INC,2021-06-10T00:00:00.000,"ENVIRONMENTAL REMEDIATION,WASTE-REMOVAL",500-1000,450 SUMAC ROAD EFT,WHEELING,IL,2020,1021227_2020,60090
