address,first_approach,second_approach,go_live_date,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
3450 W 71ST ST (Speed Camera),EB,WB,09/06/2013,41.76439095689881,-87.70972841983624,"{'latitude': '41.76439095689881', 'longitude': '-87.70972841983624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,21867,64,383,31
2432 N Ashland (Speed Camera),NB,,01/25/2014,41.92620790295943,-87.66832897708693,"{'latitude': '41.92620790295943', 'longitude': '-87.66832897708693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,21190,68,743,40
11144 S Vincennes (Speed Camera),NB,,01/08/2014,41.69102545584918,-87.6642476900556,"{'latitude': '41.69102545584918', 'longitude': '-87.6642476900556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33,22212,74,378,42
11153 S Vincennes (Speed Camera),SB,,01/08/2014,41.690701951255015,-87.66412238501842,"{'latitude': '41.690701951255015', 'longitude': '-87.66412238501842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22212,74,378,22
4040 W Chicago Ave (Speed Camera),WB,,03/24/2014,41.895448620893006,-87.72765847088665,"{'latitude': '41.895448620893006', 'longitude': '-87.72765847088665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,99,45
1142 W Irving Park (Speed Camera),EB,WB,12/06/2013,41.95454086624301,-87.65857252142276,"{'latitude': '41.95454086624301', 'longitude': '-87.65857252142276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,21186,31,241,39
3542 E 95th St (Speed Camera),WB,,06/30/2014,41.72304461975978,-87.5370407583455,"{'latitude': '41.72304461975978', 'longitude': '-87.5370407583455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,49,705,47
3217 W 55th St (Speed Camera),EB,,01/07/2015,41.79339237207923,-87.70434842139014,"{'latitude': '41.79339237207923', 'longitude': '-87.70434842139014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,61,801,8
4674 W Peterson Ave (Speed Camera),EB,,03/17/2014,41.99004267366519,-87.7453343185986,"{'latitude': '41.99004267366519', 'longitude': '-87.7453343185986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,22532,12,713,38
1226 Western (Speed Camera),SB,,02/24/2014,41.90381710275111,-87.6871949977686,"{'latitude': '41.90381710275111', 'longitude': '-87.6871949977686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,21560,25,302,49
2549 W Addison (Speed Camera),EB,WB,01/31/2014,41.94661819673533,-87.69054929251513,"{'latitude': '41.94661819673533', 'longitude': '-87.69054929251513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21538,46,110,18
6250 W Fullerton (Speed Camera),WB,,12/21/2013,41.92383169923362,-87.78264224184598,"{'latitude': '41.92383169923362', 'longitude': '-87.78264224184598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22615,19,78,21
2705 W Irving Park (Speed Camera),EB,,11/15/2013,41.95387526461699,-87.69620408862693,"{'latitude': '41.95387526461699', 'longitude': '-87.69620408862693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,21538,16,372,20
4843 W Fullerton (Speed Camera),EB,WB,01/13/2014,41.92410632982652,-87.74802266359677,"{'latitude': '41.92410632982652', 'longitude': '-87.74802266359677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22615,19,306,17
3200 S Archer Ave (Speed Camera),WB,EB,11/09/2015,41.83595801848586,-87.66879026653764,"{'latitude': '41.83595801848586', 'longitude': '-87.66879026653764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,56,192,26
2928 S Halsted (Speed Camera),NB,SB,01/18/2014,41.84081262592384,-87.64649261049526,"{'latitude': '41.84081262592384', 'longitude': '-87.64649261049526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,58,59,48
2108 S Western Ave (Speed Camera),SB,,04/25/2014,41.853572622430164,-87.6858278546488,"{'latitude': '41.853572622430164', 'longitude': '-87.6858278546488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,4,23
2912 W Roosevelt Rd (Speed Camera),WB,,10/05/2013,41.86658528313424,-87.69896237494204,"{'latitude': '41.86658528313424', 'longitude': '-87.69896237494204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21184,30,35,23
4041 W Chicago Ave (Speed Camera),EB,,03/24/2014,41.89522798956752,-87.72771533433409,"{'latitude': '41.89522798956752', 'longitude': '-87.72771533433409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,24,99,45
4246 W 47th St(Speed Camera),WB,,08/27/2018,41.807853,-87.730128,"{'latitude': '41.807853', 'longitude': '-87.730128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,54,591,8
4925 S Archer (Speed Camera),NEB,SWB,01/31/2014,41.80365647472294,-87.72101713004055,"{'latitude': '41.80365647472294', 'longitude': '-87.72101713004055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,54,698,8
5885 N Ridge Ave (Speed Camera),NB,SB,03/18/2014,41.988904472466494,-87.66845572473223,"{'latitude': '41.988904472466494', 'longitude': '-87.66845572473223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,4451,76,539,16
4124 W Foster Ave (Speed Camera),EB,WB,08/26/2013,41.975501,-87.73166979484374,"{'latitude': '41.975501', 'longitude': '-87.73166979484374', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,21869,13,748,38
1111 N Humboldt Blvd (Speed Camera),SB,NB,11/19/2013,41.901430911774796,-87.70212117023745,"{'latitude': '41.901430911774796', 'longitude': '-87.70212117023745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,21560,25,301,49
1444 W Division St(Speed Camera),WB,,09/05/2018,41.903482,-87.664378,"{'latitude': '41.903482', 'longitude': '-87.664378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22620,25,483,11
5006 S Western Blvd (Speed Camera),NB,SB,01/08/2018,41.802794,-87.683753,"{'latitude': '41.802794', 'longitude': '-87.683753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,14924,61,775,3
4123 N Central Ave (Speed Camera),NB,SB,03/31/2014,41.954128259602165,-87.76688350223966,"{'latitude': '41.954128259602165', 'longitude': '-87.76688350223966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22618,15,260,19
1315 W Garfield Blvd (Speed Camera),EB,,03/24/2014,41.793645091444645,-87.6578607639445,"{'latitude': '41.793645091444645', 'longitude': '-87.6578607639445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,22257,65,297,2
7833 S Pulaski Rd (Speed Camera),NB,,02/14/2014,41.75038452958284,-87.72179453872008,"{'latitude': '41.75038452958284', 'longitude': '-87.72179453872008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,571,30
6247 W Fullerton (Speed Camera),EB,,12/21/2013,41.9236145831186,-87.78247948955652,"{'latitude': '41.9236145831186', 'longitude': '-87.78247948955652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22615,19,77,44
5520 S Western (Speed Camera),NB,,11/23/2013,41.792761119965434,-87.68415735542791,"{'latitude': '41.792761119965434', 'longitude': '-87.68415735542791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,22257,61,112,3
4053 W North Ave (Speed Camera),EB,,11/09/2015,41.90974567444195,-87.72856329512945,"{'latitude': '41.90974567444195', 'longitude': '-87.72856329512945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,24,286,49
8020 W Forest Preserve Ave (Speed Camera),EB,WB,07/16/2018,41.944352,-87.827241,"{'latitude': '41.944352', 'longitude': '-87.827241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",39,22254,17,413,19
9618 S Ewing Ave (Speed Camera),NB,SB,05/31/2014,41.72075680558273,-87.53543678735923,"{'latitude': '41.72075680558273', 'longitude': '-87.53543678735923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,49,528,47
8006 W Addison St (Speed Camera),WB,,07/16/2018,41.945054,-87.827043,"{'latitude': '41.945054', 'longitude': '-87.827043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",39,22254,17,445,19
62 E 95th St (Speed Camera),EB,,10/12/2013,41.72187849819265,-87.62135432849777,"{'latitude': '41.72187849819265', 'longitude': '-87.62135432849777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,45,554,43
3111 N Ashland Ave (Speed Camera),NB,,09/26/2014,41.938253305553516,-87.66846320182256,"{'latitude': '41.938253305553516', 'longitude': '-87.66846320182256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,4449,57,712,40
4432 N Lincoln (Speed Camera),NB,SB,01/04/2014,41.96226556022151,-87.68456699562915,"{'latitude': '41.96226556022151', 'longitude': '-87.68456699562915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21849,6,667,18
2416 W 103rd St (Speed Camera),WB,,10/17/2014,41.70648720051648,-87.68239105927896,"{'latitude': '41.70648720051648', 'longitude': '-87.68239105927896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33,4447,71,661,42
3212 W 55th St (Speed Camera),WB,,01/07/2015,41.793614646148406,-87.7041703550325,"{'latitude': '41.793614646148406', 'longitude': '-87.7041703550325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,61,776,8
1455 W Division St(Speed Camera),EB,,09/05/2018,41.90329,-87.664873,"{'latitude': '41.90329', 'longitude': '-87.664873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,22620,25,484,46
630 State St (Speed Camera),SB,,11/25/2013,41.87382420497741,-87.62774075943143,"{'latitude': '41.87382420497741', 'longitude': '-87.62774075943143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,12,10
4446 N Broadway (Speed Camera),SB,,11/23/2013,41.96288063517309,-87.6560244499908,"{'latitude': '41.96288063517309', 'longitude': '-87.6560244499908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,241,39
3911 W Diversey Ave (Speed Camera),EB,WB,07/16/2018,41.931868,-87.724595,"{'latitude': '41.931868', 'longitude': '-87.724595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22535,22,71,21
5471 W Higgins (Speed Camera),EB,WB,02/14/2014,41.96924714863934,-87.76401945149458,"{'latitude': '41.96924714863934', 'longitude': '-87.76401945149458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,21869,11,129,50
3810 W Belmont Ave (Speed Camera),WB,,04/08/2014,41.93925823071868,-87.72278142793657,"{'latitude': '41.93925823071868', 'longitude': '-87.72278142793657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,21538,22,138,21
