fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2295,2295 - CITY COUNCIL LEG REFERENCE BUR,0,PERSONNEL SERVICES,371209,356209,356209
LOCAL,100,CORPORATE FUND,23,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-6124,-6124,0
LOCAL,100,CORPORATE FUND,23,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,15,SCHEDULE SALARY ADJ,910,910,0
LOCAL,100,CORPORATE FUND,23,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,5,SALARIES AND WAGES - ON PAYROLL,64567,64567,0
LOCAL,100,CORPORATE FUND,23,CULTURAL AFFAIRS SPECIAL EVENT,2010,2010 - BUREAU OF SPECIAL EVENTS,9801,SPECIAL EVENTS PROJECT,500000,500000,0
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,130,POSTAGE,35000,35000,5000
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,197,TELEPHONE-MAINTENANCE,5700,5700,6000
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,15,SCHEDULE SALARY ADJ,16142,16142,6743
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,162,REPAIR/MAINT EQUIPMENT,10000,10000,10610
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,150,PUBLICATN & REPRODT-OUT,25485,25485,13485
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,152,ADVERTISING,31450,31450,31450
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,190,TELEPHONE-CENTREX,39000,39000,32500
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,20,OVERTIME,40000,40000,72000
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,350,STATIONERY AND OFFICE SUPPL,106540,106540,74540
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,140,PROF & TECHNICAL SERVICES,0,0,85300
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,159,LEASE PURCHASE AGREEMNT,258000,258000,186854
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,5,SALARIES AND WAGES - ON PAYROLL,2413791,2413791,2327479
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,2005 - CITY CLERK,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-123921,-123921,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-473040,-473040,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,186,PAGERS,200,200,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,245,REIMBURSEMENT TRAVELERS,1538,1538,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,169,TECHNICAL MEETING COSTS,4308,4308,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,20,OVERTIME,4700,4700,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,348,BOOKS AND RELATED MTL,5200,5200,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,152,ADVERTISING,6800,6800,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,270,LOCAL TRANSPORTATION,8950,8950,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,196,DATA CIRCUITS,9700,9700,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,166,DUES  SUBSC & MEM,10242,10242,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,159,LEASE PURCHASE AGREEMNT,33773,33773,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,197,TELEPHONE-MAINTENANCE,39550,39550,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,162,REPAIR/MAINT EQUIPMENT,47542,47542,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,149,SOFTWARE MAINT/LICENSING,47600,47600,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,39,STUDENT AS TRAINEES,50000,50000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,15,SCHEDULE SALARY ADJ,52624,52624,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,350,STATIONERY AND OFFICE SUPPL,59500,59500,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,67068,67068,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,150,PUBLICATN & REPRODT-OUT,75172,75172,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,130,POSTAGE,137308,137308,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,190,TELEPHONE-CENTREX,190000,190000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,5,SALARIES AND WAGES - ON PAYROLL,8273899,8273899,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-98995,-98995,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,189,TELEPHONE NON-CENTREX,450,450,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,270,LOCAL TRANSPORTATION,525,525,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,348,BOOKS AND RELATED MTL,600,600,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,162,REPAIR/MAINT EQUIPMENT,1050,1050,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,197,TELEPHONE-MAINTENANCE,3300,3300,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,245,REIMBURSEMENT TRAVELERS,4000,4000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,169,TECHNICAL MEETING COSTS,4629,4629,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,20,OVERTIME,10000,10000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,39,STUDENT AS TRAINEES,11000,11000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,15,SCHEDULE SALARY ADJ,12836,12836,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,159,LEASE PURCHASE AGREEMNT,13396,13396,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,130,POSTAGE,14000,14000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,38,WORK STUDY/CO-OP ED,15000,15000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,350,STATIONERY AND OFFICE SUPPL,18540,18540,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,190,TELEPHONE-CENTREX,19000,19000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,140,PROF & TECHNICAL SERVICES,88800,88800,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,142,ACCOUNTING AND AUDITING,305000,305000,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2010,2010 - SPECIAL ACCOUNTING DIVISION,5,SALARIES AND WAGES - ON PAYROLL,2386367,2386367,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,186,PAGERS,0,0,200
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,169,TECHNICAL MEETING COSTS,0,0,570
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,270,LOCAL TRANSPORTATION,0,0,600
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,181,MOBILE COMM SERVICES,0,0,710
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,245,REIMBURSEMENT TRAVELERS,0,0,1200
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,150,PUBLICATN & REPRODT-OUT,0,0,1250
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,162,REPAIR/MAINT EQUIPMENT,0,0,4051
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,348,BOOKS AND RELATED MTL,0,0,4300
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,20,OVERTIME,0,0,4700
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,166,DUES  SUBSC & MEM,0,0,7000
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,196,DATA CIRCUITS,0,0,8000
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,15,SCHEDULE SALARY ADJ,0,0,9165
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,130,POSTAGE,0,0,10248
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,149,SOFTWARE MAINT/LICENSING,0,0,18800
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,157,RENTAL EQUIPMENT AND SERVICES,0,0,33412
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,350,STATIONERY AND OFFICE SUPPL,0,0,37900
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,197,TELEPHONE-MAINTENANCE,0,0,41100
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,0,0,67068
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,190,TELEPHONE-CENTREX,0,0,169500
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,5,SALARIES AND WAGES - ON PAYROLL,0,0,3009163
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,189,TELEPHONE NON-CENTREX,0,0,450
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,348,BOOKS AND RELATED MTL,0,0,600
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,270,LOCAL TRANSPORTATION,0,0,825
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,162,REPAIR/MAINT EQUIPMENT,0,0,1050
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,166,DUES  SUBSC & MEM,0,0,1800
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,197,TELEPHONE-MAINTENANCE,0,0,3400
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,245,REIMBURSEMENT TRAVELERS,0,0,4000
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,169,TECHNICAL MEETING COSTS,0,0,5982
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,20,OVERTIME,0,0,10000
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,157,RENTAL EQUIPMENT AND SERVICES,0,0,13396
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,150,PUBLICATN & REPRODT-OUT,0,0,14561
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJ,0,0,14675
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,190,TELEPHONE-CENTREX,0,0,16000
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,130,POSTAGE,0,0,16700
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPL,0,0,26840
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,140,PROF & TECHNICAL SERVICES,0,0,88800
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,142,ACCOUNTING AND AUDITING,0,0,600000
LOCAL,100,CORPORATE FUND,27,FINANCE,2012,2012 - ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,0,0,3510014
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,245,REIMBURSEMENT TRAVELERS,0,0,338
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,348,BOOKS AND RELATED MTL,0,0,900
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,166,DUES  SUBSC & MEM,0,0,1442
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,169,TECHNICAL MEETING COSTS,0,0,2385
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,197,TELEPHONE-MAINTENANCE,0,0,4050
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,152,ADVERTISING,0,0,6800
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,270,LOCAL TRANSPORTATION,0,0,8050
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,350,STATIONERY AND OFFICE SUPPL,0,0,13300
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,15,SCHEDULE SALARY ADJ,0,0,18096
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,162,REPAIR/MAINT EQUIPMENT,0,0,25200
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,149,SOFTWARE MAINT/LICENSING,0,0,28800
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,150,PUBLICATN & REPRODT-OUT,0,0,50181
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,130,POSTAGE,0,0,129360
LOCAL,100,CORPORATE FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,5,SALARIES AND WAGES - ON PAYROLL,0,0,5347050
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,166,DUES  SUBSC & MEM,0,0,100
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,186,PAGERS,0,0,400
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,348,BOOKS AND RELATED MTL,0,0,1500
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,178,FREIGHT/EXPENSE CHARGES,0,0,2220
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,152,ADVERTISING,0,0,7200
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,270,LOCAL TRANSPORTATION,0,0,9151
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,169,TECHNICAL MEETING COSTS,0,0,10194
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,189,TELEPHONE NON-CENTREX,0,0,12000
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,228,OUT/TOWN TRAVEL-AUDITOR,0,0,12000
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,150,PUBLICATN & REPRODT-OUT,0,0,12500
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,156,LOCK BOX RENTAL,0,0,16828
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,125,OFF AND BUILDING SERV,0,0,17800
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,229,TRAN/EXP ALLOWANCE,0,0,20650
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,12,CONTRACT WAGE-PR,0,0,46709
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,196,DATA CIRCUITS,0,0,50794
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,20,OVERTIME,0,0,57394
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,339,REVENUE STAMPS,0,0,65500
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,179,MESSENGER SERVICES,0,0,74685
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,130,POSTAGE,0,0,82627
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,91,UNIFORM ALLOWANCE,0,0,99000
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,15,SCHEDULE SALARY ADJ,0,0,106598
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,157,RENTAL EQUIPMENT AND SERVICES,0,0,110000
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,149,SOFTWARE MAINT/LICENSING,0,0,121863
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,197,TELEPHONE-MAINTENANCE,0,0,127000
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,190,TELEPHONE-CENTREX,0,0,134000
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,181,MOBILE COMM SERVICES,0,0,214968
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,350,STATIONERY AND OFFICE SUPPL,0,0,224009
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,162,REPAIR/MAINT EQUIPMENT,0,0,599649
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,140,PROF & TECHNICAL SERVICES,0,0,3777213
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,138,PROF SERV-IT MAINT,0,0,16581304
LOCAL,100,CORPORATE FUND,27,FINANCE,2020,2020 - REVENUE SERVICES AND OPERATION,5,SALARIES AND WAGES - ON PAYROLL,0,0,18194383
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,179,MESSENGER SERVICES,700,700,500
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,270,LOCAL TRANSPORTATION,1635,1635,975
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,181,MOBILE COMM SERVICES,900,1200,1300
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,196,DATA CIRCUITS,1800,1800,1800
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,197,TELEPHONE-MAINTENANCE,2000,2000,2000
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,130,POSTAGE,2500,2500,2500
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,169,TECHNICAL MEETING COSTS,5250,4950,2650
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,189,TELEPHONE NON-CENTREX,2792,2792,2900
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,15,SCHEDULE SALARY ADJ,10835,10835,8608
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,350,STATIONERY AND OFFICE SUPPL,10000,10000,10000
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,162,REPAIR/MAINT EQUIPMENT,10104,10104,10104
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,190,TELEPHONE-CENTREX,12000,12000,12000
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,138,PROF SERV-IT MAINT,18000,18000,16000
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,39,STUDENT AS TRAINEES,19900,19900,19900
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,166,DUES  SUBSC & MEM,55639,55639,70205
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,137,ACCOUNTING/AUDITING,125000,125000,100000
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,140,PROF & TECHNICAL SERVICES,229518,229518,200000
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,1725267,1725267,1761807
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-109330,-109330,0
LOCAL,100,CORPORATE FUND,28,CITY TREASURER,2005,2005 - CITY TREASURER,245,REIMBURSEMENT TRAVELERS,1178,1178,0
LOCAL,100,CORPORATE FUND,58,OEMC,2705,2705 - OEMC,197,TELEPHONE-MAINTENANCE,658715,658715,1938855
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-687750,-687750,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,166,DUES  SUBSC & MEM,100,100,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,186,PAGERS,800,800,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,348,BOOKS AND RELATED MTL,1950,1950,0
LOCAL,100,CORPORATE FUND,56,IPRA,2005,2005 - IPRA,130,POSTAGE,26000,26000,17200
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,178,FREIGHT/EXPENSE CHARGES,2220,2220,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,152,ADVERTISING,7200,7200,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,270,LOCAL TRANSPORTATION,9151,9151,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,169,TECHNICAL MEETING COSTS,10319,10319,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,228,OUT/TOWN TRAVEL-AUDITOR,12000,12000,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,150,PUBLICATN & REPRODT-OUT,12500,12500,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,189,TELEPHONE NON-CENTREX,13900,13900,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,156,LOCK BOX RENTAL,16828,16828,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,125,OFF AND BUILDING SERV,17800,17800,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,229,TRAN/EXP ALLOWANCE,20650,20650,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,196,DATA CIRCUITS,50894,50894,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,12,CONTRACT WAGE-PR,54157,54157,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,20,OVERTIME,57394,57394,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,339,REVENUE STAMPS,65500,65500,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,179,MESSENGER SERVICES,74685,74685,0
LOCAL,100,CORPORATE FUND,29,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,130,POSTAGE,82627,82627,0
