mural_registration_id,artist_credit,artwork_title,media,year_installed,location_description,street_address,zip,ward,affiliated_or_commissioning,description_of_artwork,community_areas,latitude,longitude,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,year_restored
19207,Never 2501,The Buckingham,Paint,2015,,59 E Van Buren,60605,42,Wabash Arts Corridor,A new 8100-square-foot mural from Italian street artist Never 2501ï¿½the second mural in a new outdoor series along Wabash Avenue.,32,41.87687878,-87.625411,"{'type': 'Point', 'coordinates': [-87.625411, 41.87687878]}",35,38,14913,367,36,
19308,Justus Roe,The Longroom,Acrylic and exterior latex paint,2013,Longroom parking lot East Facade,1612 W Irving Park Rd #1,60613,47,,abstract landscape painting,,41.95439275,-87.66958709,"{'type': 'Point', 'coordinates': [-87.66958709, 41.95439275]}",53,57,21186,651,18,2019
19293,Shawnimals,Make It Good,Acrylic Paint and Spray Paint,2019,Couch Place Alley,170 N State St,60601,42,Chicago Loop Alliance,"A diverse community is important, especially if we can work toward comon goals. Shawnimals art strives to showcase these ideals. This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.",,41.88515323,-87.62807348,"{'type': 'Point', 'coordinates': [-87.62807348, 41.88515323]}",42,38,14309,92,36,
19234,Matthew Hoffman,Do More with Less,,2016,,4017 N Sheridan Road,60613,46,,,3,41.95505283,-87.65441322,"{'type': 'Point', 'coordinates': [-87.65441322, 41.95505283]}",53,31,21186,577,39,
19007,John Pitman Weber,Together We Overcome/Unidos Para Triunfar,,1971,,2100 West Division St,60622,2,Chicago Public Art Group,"Artist John Weber. 1971. The goal of this colorful West Town mural was to unite Latino, black, and white gang members in the community. When restored in 1974, a coffin and policeman firing his gun were added to symbolize the recent death of a Puerto Rican youth worker, shot and killed by a policeman. From 1971 (http://picasaweb.google.com/chicagopublicartgroup/1971?feat=embedwebsite)",25,41.90325452,-87.67982505,"{'type': 'Point', 'coordinates': [-87.67982505, 41.90325452]}",4,25,21560,517,11,
19249,Rowan Tree Residents,The Rowan Tree,mosaic,2019,,500 W Englewood Ave,60621,20,,"A mosaic mural completed by the residents at Rowan Trees to depict the hope, growth, and deep roots needed for recovery of substance use and mental illness. Art was designed by members of Threshold.",,41.78090936,-87.63761782,"{'type': 'Point', 'coordinates': [-87.63761782, 41.78090936]}",11,66,21559,166,4,
19061,Chema Skandal,,Spray + Brush,2018,,2801 S Lawndale Ave,60623,22,Yollocalli Arts Reach,,32,41.84059445,-87.71698352,"{'type': 'Point', 'coordinates': [-87.71698352, 41.84059445]}",57,32,21569,234,28,
19381,Mary Fedorowski,Arrival,,2021,The Wilson Club Apartments,1124 W Wilson Ave,60640,46,Uptown United,,,41.96549603,-87.65848068,"{'type': 'Point', 'coordinates': [-87.65848068, 41.96549603]}",15,31,22616,241,39,
19118,Tim Portlock and Beatriz Santiago Munoz,Fishing at Hogarth's,,1995,,1108 W Lawrence Ave,60640,46,Chicago Public Art Group,"Completed 1995. Artists Tim Portlock and Beatriz Santiago Munoz. This mural, painted on the west-facing retaining wall of the El tracks at the Lawrence stop, was designed and painted with the help of 11 Prologue Alternative High School students. From 1996",31,41.96915696,-87.65802546,"{'type': 'Point', 'coordinates': [-87.65802546, 41.96915696]}",15,31,22616,634,39,
19271,Marry Tonnu,Letter V,,2019,,1427 W Willow St,60642,2,24,,,41.9142878,-87.66281791,"{'type': 'Point', 'coordinates': [-87.66281791, 41.9142878]}",49,25,22620,109,11,
19086,Julio Cesar Montano-Montenegro,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,Division St between Western Ave and California Ave,2510 W Division St,60622,26,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",25,41.9030983,-87.68997903,"{'type': 'Point', 'coordinates': [-87.68997903, 41.9030983]}",4,25,21560,302,49,
19330,Justus Roe,Logan,Acrylic and exterior latex paint,2019,Garage,2827 N Spaulding Ave,60618,35,,abstract landscape painting,,41.93284869,-87.70973589,"{'type': 'Point', 'coordinates': [-87.70973589, 41.93284869]}",39,22,21538,55,12,
19325,Justus Roe,AVHQ,Acrylic and exterior latex paint,2018,South facing facade,5232 N Damen Ave,60625,40,,abstract landscape painting,,41.97698486,-87.67957802,"{'type': 'Point', 'coordinates': [-87.67957802, 41.97698486]}",20,6,21849,664,24,
19202,Sam Kirk,The Seeds We Plant Today Determine Our Growth For Tomorrow,Paint,2017,,1306 S Michigan Ave,60605,3,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) ""The Seeds We Plant Today Determine Our Growth For Tomorrowï¿½ mural highlights the work of Dolores Huerta in her role as an activist for human rights, additionally her strength and persistence as the only woman in a male dominated field. The power fist is a symbol seen in movements for marginalized people throughout history. Further symbolism is reflected in the sun which connects to the roots with the rising fists of the work of our ancestors. It is my duty to create work that makes women more visible, in content and process. My team is made up of strong female artists of color, so when people see us painting this work the message comes full circle and together we change minds. Women of Color must be seen more often as the strong, nurturing leaders that we are.",33,41.8655389,-87.62425739,"{'type': 'Point', 'coordinates': [-87.62425739, 41.8655389]}",35,34,14913,374,9,
19382,Andrea Cook,Up,,2021,The Wilson Club Apartments,1124 W Wilson Ave,60640,46,Uptown United,,,41.96549603,-87.65848068,"{'type': 'Point', 'coordinates': [-87.65848068, 41.96549603]}",15,31,22616,241,39,
19221,Mauricio Rodriguez,Respiration,paint,2018,Anytime Fitness,1346 W Devon Ave,60660,49,Edgewater Chamber of Commerce,"The Edgewater Chamger of Commerce, with the permission of SSA #26 worked with Mauricio Ramirez, the franchises of Anytime Fitness and the property owner to bring more art to the neighborhood",1,41.99825284,-87.66486967,"{'type': 'Point', 'coordinates': [-87.66486967, 41.99825284]}",9,10,21853,48,5,
19367,Felix Maldonado,Bears on Parade,,2020,Bai Cafe,3406 N Ashland Ave,60657,47,Lakeview Chamber of Commerce,,,41.9436387,-87.669088,"{'type': 'Point', 'coordinates': [-87.669088, 41.9436387]}",22,57,4449,239,18,
19103,"Dalton Brown, Dzine, and Bernard Williams",Knowledge Is Power Project 5,,1992,,1832 W Washington,60612,27,Chicago Public Art Group,"Completed 1992. Artists Dalton Brown, Dzine, and Bernard Williams. This mural is located at the Henry Horner Boys and Girls Club. The mural symbolizes African American lineage with images of an African map, King Tut, a clenched fist, and the word ""ROOTS"".",29,41.88331129,-87.67313444,"{'type': 'Point', 'coordinates': [-87.67313444, 41.88331129]}",28,29,21184,579,46,
19335,Justus Roe,Rogers,Acrylic and exterior latex paint,2019,Fence and garage,1523 W Albion Ave,60626,40,,abstract landscape painting,,42.0016378,-87.66904354,"{'type': 'Point', 'coordinates': [-87.66904354, 42.0016378]}",9,10,21853,242,24,
19303,Antonio Beniquez,Temperance,,2018,Damen Tavern,701 N Damen Ave,60622,1,,mural,,41.89413131,-87.67685467,"{'type': 'Point', 'coordinates': [-87.67685467, 41.89413131]}",4,25,21560,519,41,
19261,Marry Tonnu,Letter L,,2019,,1427 W Willow St,60642,2,24,,,41.9142878,-87.66281791,"{'type': 'Point', 'coordinates': [-87.66281791, 41.9142878]}",49,25,22620,109,11,
19350,"Darius Dennis, Robin Alcantara, Jared Diaz, Ephraim Gebre",I Am A Man,,2020,Northeast facing back wall,1379 N Wolcott Ave,60622,1,,,,41.90686,-87.673088,"{'type': 'Point', 'coordinates': [-87.673088, 41.90686]}",4,25,21560,481,41,
19029,Jeff Zimmermann (with SkyART),Sky Art Mural,Painting,2017,SkyART,3026 East 91st St,60617,10,DCASE,"Jeff Zimmerman began this mural by teaching youth at SkyART how to draw abstract shapes. The shapes they created were enlarged and placed throughout the mural to serve as framing devices for more representational images, including the three faces that gaze directly at the viewer.",42,41.73019968,-87.55002787,"{'type': 'Point', 'coordinates': [-87.55002787, 41.73019968]}",25,42,21202,175,47,
19039,Rahmaan Statik,Openlands Mural,,2009,"Wall under train tracks, 63rd & Parnell",555 West 63rd St,60621,20,Chicago Public Art Group,Rahmaan statik Statik The Junction Grove mural is a snapshot of Englwood during the early 1900's. The overall image represents the great white flight from Englewood during the early 20th century. It also focuses on the importance of the Pullman Porters during this time. Over all the community response and perception was positive.,66,41.77972307,-87.63959602,"{'type': 'Point', 'coordinates': [-87.63959602, 41.77972307]}",11,66,21559,435,4,
19161,Cara Feeney,Community Mural,Paint,2016,Red Line CTA Viaduct on Ardmore,1124-1160 W Ardmore Ave,60660,48,,City of Chicago granted us rights to use the wall for public art. I have the original documents we filled out granting access to use the wall.,,41.987298,-87.658921,"{'type': 'Point', 'coordinates': [-87.658921, 41.987298]}",14,76,4451,13,16,
19393,Kate Lewis,Impossible Geometry,Paint,2021,Southport Brown Line Auxiliary Exit,3410 N Southport,60657,44,Lakeview Roscoe Village Chamber of Commerce,"This mural includes 8 pieces hosted on 4 perforated steel art panels located at the Southport Brown Line auxiliary exit. The mural features varies forms of geometric shapes in bright, vibrant colors.",,41.94375528,-87.66407359,"{'type': 'Point', 'coordinates': [-87.66407359, 41.94375528]}",22,57,4449,239,25,
19298,Key Detail,otherworldly,,2017,Taco Veloz,1745 W Chicago Ave,60622,1,,mural,,41.89589266,-87.67156245,"{'type': 'Point', 'coordinates': [-87.67156245, 41.89589266]}",4,25,21560,520,41,
19071,"Jesus ""Chucho"" Rodriguez",Libertad,Paint,2008,Barrett Park,2022 West Cermak Road,60608,25,Yollocalli Arts Reach,"In the summer of '08, Yollocalli teens created this mural, ""Libertad,"" that speaks to the youth, the community and their culture- check out portraits of Malcolm X, Frida Kahlo, & Rosa Parks.",33,41.8522701,-87.6768038,"{'type': 'Point', 'coordinates': [-87.6768038, 41.8522701]}",43,33,14920,366,26,
19425,"Ruben Aguirre, Cheri Charlton. Andrea Jablonski, Anthony Lewellen, Tyrue Slang Jones, Chris Silva",Audubon Mural Project,Paint,2016,CTA viaduct walls,W Greenleaf Ave & N Glenwood Ave,60626,49,,"In 2016 the Mile of Murals collaborated with New York's Audubon Mural Project to pilot the Chicago edition. The Audubon Mural Project began in 2014 as a public art initiative of the National Audubon Society, in partnership with the Harlem-based Gitler &_____ Gallery of upper Manhattan, New York. The goal of the project is to paint murals honoring North American bird species that Audubon’s research has determined are threatened by climate change in this century, in order to bring awareness to this environmental crisis.     A report published in 2014 found that 314 North American bird species will be severely threatened by future climate change. By 2080, these species are projected to lose at least half of their current climatic ranges as conditions (especially temperature and precipitation) become unsuitable for their continued survival.    For this project, the Mile of Murals team worked closely with the Audubon Great Lakes Regional Office to identify birds within the Chicago area region that are threatened, across six habitat categories. The birds featured in these murals include the Tree Swallow, Baltimore Oriole, Peregrine Falcon, Bald Eagle, Hooded Merganser, Mallard, and Wood Duck, Black Crowned Night Heron, Black Cormorant, Yellow Bellied Sapsucker, Hairy Woodpecker, Red-breasted Nuthatch, and White-breasted Nuthatch.",01,42.00846376,-87.665608,"{'type': 'Point', 'coordinates': [-87.665608, 42.00846376]}",9,10,21853,66,5,
19193,Ruben Aguirre,Drowning City,Paint,2016,,501 S Wabash,60605,42,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) Ruben Aguirre is a Chicago-based painter who has transitioned from graffiti writing to an abstract/contemporary muralist.
While working on this project Aguirre stated, ï¿½The first inspiration is the space itself. My work is a response to a site specific place, so looking, thinking and reacting with paint is the result of being there.ï¿½ ï¿½  as quoted in Sandra Steinbrecherï¿½s Wabash Arts Corridor / Big Walls / 2016",32,41.8756261,-87.62587904,"{'type': 'Point', 'coordinates': [-87.62587904, 41.8756261]}",35,38,14913,367,36,
19408,Miguel A. Del Real,Energy Conversion,Paint,2022,Paramont EO Electrical Supplies,3300 N Sheffield Ave,60657,44,,"General idea is to honor the electrical workers by depicting the bending, positioning and angles that are required to manipulate the pipes for electricity.  There's also the duality of male and female figures represented as professionals in their Craft/trade.  The abstract piece in the middle is based on Tesla's AC/DC motor which he invented that allowed current to flow both ways; the patterns symbolize energy.  The mural overall illustrates the human manipulation of energy and how we concentrate it for our own benefit and lighting the world.",6,41.94183033,-87.65431277,"{'type': 'Point', 'coordinates': [-87.65431277, 41.94183033]}",22,57,4449,710,25,
19276,David Heo,"Inhale, Exhale",,2019,Uptown Ace Hardware,4654 N Broadway,60640,46,,,,41.96675345,-87.65849862,"{'type': 'Point', 'coordinates': [-87.65849862, 41.96675345]}",15,31,22616,241,39,
19022,Astrid Fuller,Pioneer Social Work,,2011,57th St and Stony Island,5656 South Stony Island Ave,60637,5,Chicago Public Art Group,"Original Artist: Astrid Fuller. 1976. Restoration Completed: 2011 Restoration Artist: Damon Reed Much controversy surrounded this mural, sponsered by the Hyde Park-Kenwood Community Conference, but months later it was finally painted. The mural depicts some of the many contributions of the pioneer social workers, such as civil liberties and peace initiatives. From 1976",8,41.79169657,-87.5868573,"{'type': 'Point', 'coordinates': [-87.5868573, 41.79169657]}",60,8,22260,502,33,
19138,"Cathy Cajandig, John Weber",Children are our Future,Paint and Mixed Media,1979,The 606 at California and Bloomingdale,1760 N California Ave,60647,26,Chicago Public Art Group,,25,41.91374686,-87.69723595,"{'type': 'Point', 'coordinates': [-87.69723595, 41.91374686]}",1,25,22535,300,41,2015
19166,Juan De Lu Mora,De Generacion en Generacion,Paint,2018,South side at building on Ridgeway,2555 S Ridgeway Ave,60623,22,,Black and white mural made with charcole and spray paint mezaleros cutting pinas to make mezcal.,30,41.84453962,-87.71831109,"{'type': 'Point', 'coordinates': [-87.71831109, 41.84453962]}",57,32,21569,754,28,
19034,"Cyd Smillie with
Arts Alive Chicago",Messages,Painting,2018,"Viaduct, East Wall",5804-5856 S Damen Ave,60636,15,DCASE,"Cyd Smillie worked with Henderson Elementary students and faculty on the theme of peace for two corresponding murals on the walls of the Damen underpassâ€”Messages on the east side, and King of Peace on the west side. King of Peace was designed by Henderson Elementary art teacher Darrell Pulliam, while Cyd Smillie designed Messages with the Henderson students.",65,41.7882892,-87.67428131,"{'type': 'Point', 'coordinates': [-87.67428131, 41.7882892]}",23,65,22257,274,3,
19093,Cristian Roldan,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,Division St between Western Ave and California Ave,2542 W Division St,60622,26,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",25,41.90308696,-87.69112645,"{'type': 'Point', 'coordinates': [-87.69112645, 41.90308696]}",4,25,21560,302,49,
19230,Matthew Hoffman,You Are Beautiful,Painted plywood,2012,,2334 W Division St,60622,1,,,24,41.90314475,-87.68599652,"{'type': 'Point', 'coordinates': [-87.68599652, 41.90314475]}",4,25,21560,516,41,
19253,Marry Tonnu,Letter B,,2019,,1690 N Elston Ave,60642,2,24,,,41.91290391,-87.66394498,"{'type': 'Point', 'coordinates': [-87.66394498, 41.91290391]}",49,25,22620,109,11,
19198,JJ McLuckie,My Exploding Head,Paint,2016,,600 S. Michigan,60605,42,Wabash Arts Corridor,,32,41.87437162,-87.62437953,"{'type': 'Point', 'coordinates': [-87.62437953, 41.87437162]}",35,38,14913,368,36,
19362,Nic Fonte,Equality Crew,,2020,Uptown Ace Hardware,4654 N Broadway,60640,46,Uptown United,,,41.9666343,-87.6586209,"{'type': 'Point', 'coordinates': [-87.6586209, 41.9666343]}",15,31,22616,241,39,
19066,"El Paseo
Community
Garden with Eric J. Garcia, Diana SolÃ­s, Katia PÃ©res-Fuentes",El Abrazo,,2017,El Paseo Community Garden,944 West 21st St,60608,25,DCASE,"During the development of the mural El Abrazoâ€”which translates to â€œThe Embraceâ€ in Spanishâ€”25th Ward residents offered concepts of immigration, migration, borders, agriculture and environment. Project Artists worked with five teenage apprenticesâ€”Natalie Alicea, Natalie Aparicio, Yazmin Jiminez, Jasmin Martinez, and Jocelyn Tlapaâ€”to form the multigenerational team that painted the mural.",33,41.85401145,-87.64989059,"{'type': 'Point', 'coordinates': [-87.64989059, 41.85401145]}",43,33,14920,250,26,
19436,James Jankowiak,Undercurrent Grand Ave Wall,Spraypaint,2022,110-144 E Grand Ave,110-144 E Grand Ave,60602,42,,"The Undercurrent project brought art and beauty to lower Michigan Avenue with installations from three local artists. The artists were asked to create a “mirror” image of what was above below, and we are amazed by what they created. The installations can be found on the walls at The Realtors Building (Billy Goat Tavern), Intercontinental Hotel, the north wall of Grand Avenue and Michigan Avenue and serve as a brighter and safer route for commuters and visitors walking Lower Michigan Avenue.    The Magnificent Mile Association secured approval from CDOT on behalf of the artist.",08,41.8918416,-87.6247877,"{'type': 'Point', 'coordinates': [-87.6247877, 41.8918416]}",6,37,21182,626,36,
19098,Reynaldo Rodriguez,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,Division St between Western Ave and California Ave,2701 W Division St,60622,26,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",25,41.90283677,-87.69453754,"{'type': 'Point', 'coordinates': [-87.69453754, 41.90283677]}",4,25,21560,543,49,
19286,Ant Ben and Gabe Moskolis,untitled,Exterior Paint and Spray Paint,2019,,330 N MacChesney Court,60601,42,Chicago Loop Alliance,This mural was created for ACTIVATE: a project of the Chicago Loop Alliance Foundation.,,41.88761537,-87.62530112,"{'type': 'Point', 'coordinates': [-87.62530112, 41.88761537]}",42,38,14309,580,36,
19225,Sam Kirk,Viva Fï¿½tbol!,Paint,2017,18th and Ashland,1724 S Ashland Ave,60608,25,,Commission with Major League Soccer for 2017 All-Star Game in Chicago.,31,41.85789813,-87.66628976,"{'type': 'Point', 'coordinates': [-87.66628976, 41.85789813]}",43,33,14920,343,26,
19318,Justus Roe,Pratt-a-tat-tat,Acrylic and exterior latex paint,2015,West embankment wall on Glenwood,1401 W Pratt,60626,49,,abstract landscape painting,,42.00534589,-87.66591766,"{'type': 'Point', 'coordinates': [-87.66591766, 42.00534589]}",9,10,21853,358,5,2019
19157,Tanner Woodford,,Paint,2018,Cards Against Humanity HQ,1551 W Homer St,60642,2,Cards Against Humanity HQ,"Tanner Woodford is founder and executive director of the Design Museum of Chicago, and teaches at the School of the Art Institute of Chicago.",22,41.91720864,-87.66683738,"{'type': 'Point', 'coordinates': [-87.66683738, 41.91720864]}",49,23,22620,209,11,
19404,Greenstar Movement,Community Mosiac,Mosaic / Tile,2022,UPS Store on Southport Ave,3501 N Southport Ave,60657,44,,"This mosaic is comprised of tile and grouting, showing leaves, snowflakes, foliage, and other seasonal elements against a yellow background. In the background, the CTA 'L' tracks and train are depicted, along with signage for Southport and Paulina stations.",6,41.94529,-87.66382224,"{'type': 'Point', 'coordinates': [-87.66382224, 41.94529]}",22,57,4449,729,25,
19010,Siddha Webbe,Have A Dream,,1995,S King Dr & E 40th St,3993 South King Dr,60653,3,Chicago Public Art Group,Completed 1995. Artist Siddha Webber. This 16x50 ft mural depicts various images of Martin Luther King Jr. From 1995,4,41.82204495,-87.61680123,"{'type': 'Point', 'coordinates': [-87.61680123, 41.82204495]}",36,4,4301,163,9,
19189,Czr Prz,Fry,Paint,2016,,1415 S Wabash,60605,3,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) CZR PRZ is a Chicago native with over 20 years of experience as a street artist, illustrator, painter, designer and installation/production artist.
While working on this project CZR said,  ï¿½Public art has the potential to both inspire as well as to develop an emotional connection to the audiencesï¿½ surroundingsï¿½ ï¿½  as quoted in Sandra Steinbrecherï¿½s Wabash Arts Corridor / Big Walls / 2016",33,41.86361937,-87.62559588,"{'type': 'Point', 'coordinates': [-87.62559588, 41.86361937]}",35,34,14913,374,9,
19389,JPAK,Bling,,2021,Kim Long Jewlery,1054 W Argyle St,60640,46,Uptown United,,,41.97339174,-87.6571143,"{'type': 'Point', 'coordinates': [-87.6571143, 41.97339174]}",15,31,22616,634,16,
19054,Chris Silva,Flower Shop,,2015,Jesse's Flower,2459 South Christiana,60623,22,Yollocalli Arts Reach,This mural was created with 15 Yollocalli youth interns/collaborators in during the summer of 2015 with direction from lead Artist Chris Silva.,32,41.84637097,-87.70860251,"{'type': 'Point', 'coordinates': [-87.70860251, 41.84637097]}",57,32,21569,291,1,
19357,Mitch Reardon,Seascape,,2020,Cornerstone Community Outreach,4628 N Clifton Ave,60640,46,Uptown United,,,41.9665012,-87.6590481,"{'type': 'Point', 'coordinates': [-87.6590481, 41.9665012]}",15,31,22616,241,39,
19170,Nora Kate,Maud the Octopus,Paint,2018,"Corner of building, Fulton at Justine",1520 W Fulton St,60607,27,,Oringal black and white Octopus set on southwest corner of building,28,41.88664527,-87.66524751,"{'type': 'Point', 'coordinates': [-87.66524751, 41.88664527]}",44,29,14917,63,46,
19142,Anthony Lewellen,Lake View,,2017,On south-facing wall covering two stories,3241 N Lincoln Ave,60657,47,DCASE,"Lake View by Anthony Lewellen is an iconic 4,000 square-foot mural that celebrates Lakeview at an intersection that has historically served as the geographical center of the neighborhood. According to Lewellen, who grew up in Lakeview and has been a prominent figure in the Chicago arts community for decades, the artwork presents a visual metaphor that embodies the area's namesake and simultaneously plays with the notion of personification. ""The central female figure, her hair flowing like waves, towers above the surrounding trees and buildings and in her reflected gaze, we see the horizon clear, blue, open and full of possibilities.""",57,41.94091163,-87.66935052,"{'type': 'Point', 'coordinates': [-87.66935052, 41.94091163]}",22,57,4449,742,18,
19421,Nick Fisher (Sick Fisher),Big Fruit,Paint,2015,Behind the building by the parking lot.,1615 W Howard St,60626,49,,"From the very beginning, the mural’s intention was to radiate themes of ‘life’, ‘growth’ and ‘bright future’.     The over-saturated aquamarine leaves and large red fruit are meant to evoke feelings of fertile soil. The very name of the mural, “Big Fruit”, is a play on the names given to other towns or cities. As if to say, “Howard Street, Land of the Big Fruit”, where people can settle, grow and happily sustain. Fischer also thought that the bold, lively color scheme would cut through the drearier winter days as commuters waited on the 2nd busiest train platform in the city.",01,42.01926996,-87.6720333,"{'type': 'Point', 'coordinates': [-87.6720333, 42.01926996]}",9,10,21853,489,5,
19110,Tony Passero,CoyWolf,Paint,2017,"Viaduct, Damen Avenue at The 606",1800 N Damen Ave,60647,32,DCASE,"In CoyWolf, two large animals patterned with vibrant shapes stare at the viewer with boldly colored eyes. The coyote/wolf hybrids depicted in the mural now stand as icons of The 606, the nearby innovative public recreation space.",25,41.91455946,-87.67770003,"{'type': 'Point', 'coordinates': [-87.67770003, 41.91455946]}",1,25,22535,179,40,
19329,Justus Roe,Sacramento & Nelson,Acrylic and exterior latex paint,2019,West facing street side fence,3077 N Sacramento Ave,60618,33,,abstract landscape painting,,41.93761047,-87.70253038,"{'type': 'Point', 'coordinates': [-87.70253038, 41.93761047]}",39,22,21538,465,20,
19257,Marry Tonnu,Letter H,,2019,,1650 N Elston Ave,60642,2,24,,,41.91197223,-87.66325377,"{'type': 'Point', 'coordinates': [-87.66325377, 41.91197223]}",49,25,22620,109,11,
19125,Green Star Movement,63rd Street Gateway,,2018,Metra viaduct at 63rd St. between Dorchester and Blackstone,S Dorchester Ave & E 63rd St,60637,20,,"Green Star Movement, with the help of approximately 500 volunteers, created this mosaic to celebrate the Woodlawn neighborhood and its culture. Elaborate portraits of notable figures, including Barack Obama, Michelle Obama, and singer Minnie Riperton are shaped out of tile. Photographs embedded in the material memorialize other former residentsâ€”including Emmett Till and Muhammad Ali. Further highlighting Woodlawnâ€™s rich history, imagery from the front page of the Chicago Crusader, a newspaper headquartered in the neighborhood, is prominently displayed within the mosaic.",,41.780539,-87.590428,"{'type': 'Point', 'coordinates': [-87.590428, 41.780539]}",60,9,22260,134,4,
19226,Sam Kirk,Power to the People,Paint,2017,Couch Alley,99 W Couch Place,60601,42,Chicago Loop Alliance,A commission for ACTIVATE Chicago that highlights women in the trade industry.,32,41.88499046,-87.63077318,"{'type': 'Point', 'coordinates': [-87.63077318, 41.88499046]}",42,38,14309,92,36,
19340,Christian Paz,Lakefront,,2020,Spoil Me Salon,1137 W Leland Ave,60640,46,,,,41.9671,-87.65898,"{'type': 'Point', 'coordinates': [-87.65898, 41.9671]}",15,31,22616,241,39,
19078,"Ricardo Martinez, FEDZ, Thomas, Axel",Alley Wall Project,spray,2013,"Giordano's Pizza, alley",1401 W 18th St,60608,25,Yollocalli Arts Reach,"Thanks to Alderman Solis and his Art in Public Spaces Initiative, Yollocalli Youth have been able to create works of art in the alley by our 1401 W 18th street building.",33,41.85776469,-87.66138509,"{'type': 'Point', 'coordinates': [-87.66138509, 41.85776469]}",43,33,14920,365,26,
19194,Zor Zor Zor,"Goralu, Czy Ci Nie Zal",Paint,2016,,600 S Michigan,60605,42,Wabash Arts Corridor,"(Photo Credit: Sandra Steinbrecher) While working on this project Zor Zor Zor stated, ï¿½The inspiration for the WAC wall piece is my culture and where I come from. My parents moved to Chicago from southern Poland in the 70ï¿½s. We are highlanders or in polish ï¿½Goraleï¿½. I chose to paint a dancing couple dressed in traditional ï¿½Goralskieï¿½ costume.ï¿½-  as quoted in Sandra Steinbrecherï¿½s Wabash Arts Corridor / Big Walls / 2016",32,41.87437162,-87.62437953,"{'type': 'Point', 'coordinates': [-87.62437953, 41.87437162]}",35,38,14913,368,36,
19213,Lauren Asta,This is Lakeview,Paint,2018,Side of office building,3409 N Paulina,60657,44,Lakeview Chamber of Commerce,"Creating public artwork allows me to visually stimulate an audience and inspire them with my cast of characters doing what they do best: being humorous about the human experience. The enormous amount of intentional memories created in front of my murals are so profound it should continually remind us that art is an extremely important part of our lives. People watch and document the process from start to finish and ultimately feel attached to the project. Art creates an emotional connection within us. It allows us to pay attention and to be connected to it and thus be connected with others. My desire to contribute something positive and worthwhile is so strong one might say art is what makes me feel human. This project was a great experience and example of why public art is so important. I wanted the community to be proud of something positive that belongs to them. To have it be a constant reminder to be bold, to flex the hustle, and to hopefully have the desire to create somethingï¿½big or small.ï¿½
THIS IS LAKEVIEW is funded by Special Service Area 27, whose mission is to support a vibrant local economy and high quality of life for the benefit of Lakeview businesses and residents by improving and enhancing public streets and spaces, creating memorable experiences, encouraging spending locally and promoting the neighborhood. The mural is part of the Lakeview Low-Line, which re-envisions the half-mile space beneath the CTA ï¿½Lï¿½ tracks between Southport and Lincoln avenues as an exciting Chicago art destination and a fun and dynamic path connecting Lakeview. Learn more at www.lakeviewlowline.com.",6,41.94362991,-87.67106145,"{'type': 'Point', 'coordinates': [-87.67106145, 41.94362991]}",22,57,4449,239,18,
19097,Cristian Roldan,Las Puertas de Paseo Boricua,Paint and Mixed Media,2017,Division St between Western Ave and California Ave,2628 W Division St,60622,26,DCASE,"Las Puertas de Paseo Boricua, organized by Sam Kirk, is a celebration of contemporary Latino culture in Chicago. Partnering with the Illinois Puerto Rican Cultural Center, Kirk sought out street-level doorways on Division street as new sites for public artwork, to increase the visibility of Latino culture in Humboldt Park. Kirk selected 13 Artists to create new works that explore indigenous tribes, ancestry, cultural characters, music, scenic references, cross-cultural identities, and pride.",25,41.90306762,-87.69314756,"{'type': 'Point', 'coordinates': [-87.69314756, 41.90306762]}",4,25,21560,543,49,
